proteinID,taxaID,cladeID,scientificName,genus,species
A0A022QQ15,4155,E,Erythranthe guttata,Erythranthe,guttata
A0A022QRH6,4155,E,Erythranthe guttata,Erythranthe,guttata
A0A022QVZ8,4155,E,Erythranthe guttata,Erythranthe,guttata
A0A022R6W5,4155,E,Erythranthe guttata,Erythranthe,guttata
A0A022R8D2,4155,E,Erythranthe guttata,Erythranthe,guttata
A0A022R8P9,4155,E,Erythranthe guttata,Erythranthe,guttata
A0A022RBU3,4155,E,Erythranthe guttata,Erythranthe,guttata
A0A022RHH4,4155,E,Erythranthe guttata,Erythranthe,guttata
A0A022RUE2,4155,E,Erythranthe guttata,Erythranthe,guttata
A0A022S239,4155,E,Erythranthe guttata,Erythranthe,guttata
A0A023EUI7,7160,E,Aedes albopictus,Aedes,albopictus
A0A023EVQ2,7160,E,Aedes albopictus,Aedes,albopictus
A0A023EZK5,30076,E,Triatoma infestans,Triatoma,infestans
A0A023F3V4,30076,E,Triatoma infestans,Triatoma,infestans
A0A023FI30,34607,E,Amblyomma cajennense,Amblyomma,cajennense
A0A023FPE9,34607,E,Amblyomma cajennense,Amblyomma,cajennense
A0A023FVD0,251391,E,Amblyomma parvum,Amblyomma,parvum
A0A023FVL6,251391,E,Amblyomma parvum,Amblyomma,parvum
A0A023FYT6,251391,E,Amblyomma parvum,Amblyomma,parvum
A0A023G6L1,251400,E,Amblyomma triste,Amblyomma,triste
A0A023GFW4,251400,E,Amblyomma triste,Amblyomma,triste
A0A023GHF6,251400,E,Amblyomma triste,Amblyomma,triste
A0A023GRW4,7227,E,Drosophila melanogaster,Drosophila,melanogaster
A0A023I112,1378113,E,Asthenodipsas lasgalenensis,Asthenodipsas,lasgalenensis
A0A023J1F3,1435083,E,Loxosceles sp. Fuerteventura-Lanzarote,Loxosceles, Fuerteventura-Lanzarote
A0A023QKL5,9606,E,Homo sapiens,Homo,sapiens
A0A024FLT0,79622,E,Calonectris leucomelas,Calonectris,leucomelas
A0A024FTK8,65357,E,Albugo candida,Albugo,candida
A0A024G5C5,65357,E,Albugo candida,Albugo,candida
A0A024GFP4,65357,E,Albugo candida,Albugo,candida
A0A024GGN3,65357,E,Albugo candida,Albugo,candida
A0A024GP81,65357,E,Albugo candida,Albugo,candida
A0A024R4H4,9606,E,Homo sapiens,Homo,sapiens
A0A024RAU3,9606,E,Homo sapiens,Homo,sapiens
A0A024TDV8,157072,E,Aphanomyces invadans,Aphanomyces,invadans
A0A024TG61,157072,E,Aphanomyces invadans,Aphanomyces,invadans
A0A024TVP3,157072,E,Aphanomyces invadans,Aphanomyces,invadans
A0A024TY59,157072,E,Aphanomyces invadans,Aphanomyces,invadans
A0A024TZ94,157072,E,Aphanomyces invadans,Aphanomyces,invadans
A0A024U3V6,157072,E,Aphanomyces invadans,Aphanomyces,invadans
A0A024UGI4,157072,E,Aphanomyces invadans,Aphanomyces,invadans
A0A024UR18,157072,E,Aphanomyces invadans,Aphanomyces,invadans
A0A024URB8,157072,E,Aphanomyces invadans,Aphanomyces,invadans
A0A024USS3,157072,E,Aphanomyces invadans,Aphanomyces,invadans
A0A024UUH1,157072,E,Aphanomyces invadans,Aphanomyces,invadans
A0A024UVM9,157072,E,Aphanomyces invadans,Aphanomyces,invadans
A0A026VVU8,443821,E,Cerapachys biroi,Cerapachys,biroi
A0A026WA94,443821,E,Cerapachys biroi,Cerapachys,biroi
A0A026WFV9,443821,E,Cerapachys biroi,Cerapachys,biroi
A0A026WNB9,443821,E,Cerapachys biroi,Cerapachys,biroi
A0A026WNG9,443821,E,Cerapachys biroi,Cerapachys,biroi
A0A026WNN5,443821,E,Cerapachys biroi,Cerapachys,biroi
A0A026WPD9,443821,E,Cerapachys biroi,Cerapachys,biroi
A0A026WRX6,443821,E,Cerapachys biroi,Cerapachys,biroi
A0A026X1H8,443821,E,Cerapachys biroi,Cerapachys,biroi
A0A034V4R0,27457,E,Bactrocera dorsalis,Bactrocera,dorsalis
A0A034V4T3,27457,E,Bactrocera dorsalis,Bactrocera,dorsalis
A0A034V6Z1,27457,E,Bactrocera dorsalis,Bactrocera,dorsalis
A0A034VC96,27457,E,Bactrocera dorsalis,Bactrocera,dorsalis
A0A034VIM2,27457,E,Bactrocera dorsalis,Bactrocera,dorsalis
A0A034VKB0,27457,E,Bactrocera dorsalis,Bactrocera,dorsalis
A0A034VNJ9,27457,E,Bactrocera dorsalis,Bactrocera,dorsalis
A0A034VUN5,27457,E,Bactrocera dorsalis,Bactrocera,dorsalis
A0A034VWU9,27457,E,Bactrocera dorsalis,Bactrocera,dorsalis
A0A034W0S3,27457,E,Bactrocera dorsalis,Bactrocera,dorsalis
A0A034W5F9,27457,E,Bactrocera dorsalis,Bactrocera,dorsalis
A0A034W5K9,27457,E,Bactrocera dorsalis,Bactrocera,dorsalis
A0A034WAU9,27457,E,Bactrocera dorsalis,Bactrocera,dorsalis
A0A034WQH9,27457,E,Bactrocera dorsalis,Bactrocera,dorsalis
A0A034WSI6,27457,E,Bactrocera dorsalis,Bactrocera,dorsalis
A0A034WSM8,27457,E,Bactrocera dorsalis,Bactrocera,dorsalis
A0A044QNI6,6282,E,Onchocerca volvulus,Onchocerca,volvulus
A0A044S5D8,6282,E,Onchocerca volvulus,Onchocerca,volvulus
A0A044TJ01,6282,E,Onchocerca volvulus,Onchocerca,volvulus
A0A044U3D7,6282,E,Onchocerca volvulus,Onchocerca,volvulus
A0A044U723,6282,E,Onchocerca volvulus,Onchocerca,volvulus
A0A044ULB2,6282,E,Onchocerca volvulus,Onchocerca,volvulus
A0A044V9R4,6282,E,Onchocerca volvulus,Onchocerca,volvulus
A0A058Z7B5,691883,E,Fonticula alba,Fonticula,alba
A0A058ZFD5,691883,E,Fonticula alba,Fonticula,alba
A0A058ZFY3,691883,E,Fonticula alba,Fonticula,alba
A0A058ZFZ6,691883,E,Fonticula alba,Fonticula,alba
A0A058ZTS1,71139,E,Eucalyptus grandis,Eucalyptus,grandis
A0A059A9P8,71139,E,Eucalyptus grandis,Eucalyptus,grandis
A0A059A9Z2,71139,E,Eucalyptus grandis,Eucalyptus,grandis
A0A059AJA1,71139,E,Eucalyptus grandis,Eucalyptus,grandis
A0A059AJW6,71139,E,Eucalyptus grandis,Eucalyptus,grandis
A0A059AW37,71139,E,Eucalyptus grandis,Eucalyptus,grandis
A0A059AXL7,71139,E,Eucalyptus grandis,Eucalyptus,grandis
A0A059B3F5,71139,E,Eucalyptus grandis,Eucalyptus,grandis
A0A059B3W1,71139,E,Eucalyptus grandis,Eucalyptus,grandis
A0A059B406,71139,E,Eucalyptus grandis,Eucalyptus,grandis
A0A059B8R8,71139,E,Eucalyptus grandis,Eucalyptus,grandis
A0A059B9A7,71139,E,Eucalyptus grandis,Eucalyptus,grandis
A0A059BGM3,71139,E,Eucalyptus grandis,Eucalyptus,grandis
A0A059BVJ5,71139,E,Eucalyptus grandis,Eucalyptus,grandis
A0A059C3T6,71139,E,Eucalyptus grandis,Eucalyptus,grandis
A0A059C7S0,71139,E,Eucalyptus grandis,Eucalyptus,grandis
A0A059CA28,71139,E,Eucalyptus grandis,Eucalyptus,grandis
A0A059CFW7,71139,E,Eucalyptus grandis,Eucalyptus,grandis
A0A059CM85,71139,E,Eucalyptus grandis,Eucalyptus,grandis
A0A059CR90,71139,E,Eucalyptus grandis,Eucalyptus,grandis
A0A059CVM0,71139,E,Eucalyptus grandis,Eucalyptus,grandis
A0A059DCS9,71139,E,Eucalyptus grandis,Eucalyptus,grandis
A0A059LEX5,1291522,E,Helicosporidium sp. ATCC 50920,Helicosporidium, ATCC 50920
A0A059LM88,1291522,E,Helicosporidium sp. ATCC 50920,Helicosporidium, ATCC 50920
A0A059LS38,1291522,E,Helicosporidium sp. ATCC 50920,Helicosporidium, ATCC 50920
A0A059RNF8,9606,E,Homo sapiens,Homo,sapiens
A0A059SGF3,273567,E,Protea parvula,Protea,parvula
A0A059TEQ8,263448,E,Cercopithecus wolfi,Cercopithecus,wolfi
A0A059UBB6,3381,E,Gnetum montanum,Gnetum,montanum
A0A060A4R4,1503164,E,Cyanidiaceae sp. MX-AZ01,Cyanidiaceae, MX-AZ01
A0A060CI57,4786,E,Phytophthora cryptogea,Phytophthora,cryptogea
A0A060D890,4577,E,Zea mays,Zea,mays
A0A060MZU1,7091,E,Bombyx mori,Bombyx,mori
A0A060RMK0,5854,E,Plasmodium reichenowi,Plasmodium,reichenowi
A0A060SAT1,5643,E,Trametes cinnabarina,Trametes,cinnabarina
A0A060SUK3,5643,E,Trametes cinnabarina,Trametes,cinnabarina
A0A060SVF5,1491612,E,Exocelina patepensis,Exocelina,patepensis
A0A060SW87,409370,E,Blastobotrys adeninivorans,Blastobotrys,adeninivorans
A0A060T1K0,409370,E,Blastobotrys adeninivorans,Blastobotrys,adeninivorans
A0A060T2R1,409370,E,Blastobotrys adeninivorans,Blastobotrys,adeninivorans
A0A060T2Y8,409370,E,Blastobotrys adeninivorans,Blastobotrys,adeninivorans
A0A060T350,409370,E,Blastobotrys adeninivorans,Blastobotrys,adeninivorans
A0A060T8F8,409370,E,Blastobotrys adeninivorans,Blastobotrys,adeninivorans
A0A060TBU6,409370,E,Blastobotrys adeninivorans,Blastobotrys,adeninivorans
A0A060TD51,409370,E,Blastobotrys adeninivorans,Blastobotrys,adeninivorans
A0A060VMI6,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060VMM3,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060VNR9,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060VQV4,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060VUX7,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060VZA3,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060WCP3,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060WCT3,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060WDG2,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060WEZ2,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060WHF0,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060WHN7,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060WHT4,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060WLT2,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060WP35,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060WP50,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060WTG6,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060WUI4,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060WWN2,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060WY66,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060WYQ2,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060X1X3,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060X4A4,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060X4J1,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060X9B2,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060XGD5,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060XI11,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060XI43,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060XT97,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060XUV9,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060XYP2,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060Y4E7,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060YBS8,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060YDZ6,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060YK20,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060YNC9,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060YXD5,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A060ZAP5,8022,E,Oncorhynchus mykiss,Oncorhynchus,mykiss
A0A061AGX3,36022,E,Cyberlindnera fabianii,Cyberlindnera,fabianii
A0A061AL27,5286,E,Rhodotorula toruloides,Rhodotorula,toruloides
A0A061ASU1,36022,E,Cyberlindnera fabianii,Cyberlindnera,fabianii
A0A061AV91,5286,E,Rhodotorula toruloides,Rhodotorula,toruloides
A0A061AX94,36022,E,Cyberlindnera fabianii,Cyberlindnera,fabianii
A0A061B314,36022,E,Cyberlindnera fabianii,Cyberlindnera,fabianii
A0A061B643,5286,E,Rhodotorula toruloides,Rhodotorula,toruloides
A0A061B911,5286,E,Rhodotorula toruloides,Rhodotorula,toruloides
A0A061BCS9,5286,E,Rhodotorula toruloides,Rhodotorula,toruloides
A0A061BD61,5286,E,Rhodotorula toruloides,Rhodotorula,toruloides
A0A061BDZ2,5286,E,Rhodotorula toruloides,Rhodotorula,toruloides
A0A061BH09,5286,E,Rhodotorula toruloides,Rhodotorula,toruloides
A0A061BHS4,5286,E,Rhodotorula toruloides,Rhodotorula,toruloides
A0A061BIB9,5286,E,Rhodotorula toruloides,Rhodotorula,toruloides
A0A061BM38,5286,E,Rhodotorula toruloides,Rhodotorula,toruloides
A0A061D4Q7,5866,E,Babesia bigemina,Babesia,bigemina
A0A061D6D3,5866,E,Babesia bigemina,Babesia,bigemina
A0A061DPX0,3641,E,Theobroma cacao,Theobroma,cacao
A0A061DXX3,3641,E,Theobroma cacao,Theobroma,cacao
A0A061E5I4,3641,E,Theobroma cacao,Theobroma,cacao
A0A061EKX6,3641,E,Theobroma cacao,Theobroma,cacao
A0A061EQE5,3641,E,Theobroma cacao,Theobroma,cacao
A0A061EXY6,3641,E,Theobroma cacao,Theobroma,cacao
A0A061EZ03,3641,E,Theobroma cacao,Theobroma,cacao
A0A061F4K9,3641,E,Theobroma cacao,Theobroma,cacao
A0A061F9N3,3641,E,Theobroma cacao,Theobroma,cacao
A0A061FET4,3641,E,Theobroma cacao,Theobroma,cacao
A0A061FHC4,3641,E,Theobroma cacao,Theobroma,cacao
A0A061FIC6,3641,E,Theobroma cacao,Theobroma,cacao
A0A061FKZ8,3641,E,Theobroma cacao,Theobroma,cacao
A0A061FSD3,3641,E,Theobroma cacao,Theobroma,cacao
A0A061FV50,3641,E,Theobroma cacao,Theobroma,cacao
A0A061FV74,3641,E,Theobroma cacao,Theobroma,cacao
A0A061G7M5,3641,E,Theobroma cacao,Theobroma,cacao
A0A061G8V6,3641,E,Theobroma cacao,Theobroma,cacao
A0A061G9B1,3641,E,Theobroma cacao,Theobroma,cacao
A0A061GBF6,3641,E,Theobroma cacao,Theobroma,cacao
A0A061GEF8,3641,E,Theobroma cacao,Theobroma,cacao
A0A061GIR3,3641,E,Theobroma cacao,Theobroma,cacao
A0A061GJ69,3641,E,Theobroma cacao,Theobroma,cacao
A0A061GKL1,3641,E,Theobroma cacao,Theobroma,cacao
A0A061GNB3,3641,E,Theobroma cacao,Theobroma,cacao
A0A061GQ14,3641,E,Theobroma cacao,Theobroma,cacao
A0A061GS33,3641,E,Theobroma cacao,Theobroma,cacao
A0A061GWZ3,3641,E,Theobroma cacao,Theobroma,cacao
A0A061HTE0,10029,E,Cricetulus griseus,Cricetulus,griseus
A0A061HUL1,10029,E,Cricetulus griseus,Cricetulus,griseus
A0A061HV17,10029,E,Cricetulus griseus,Cricetulus,griseus
A0A061I014,10029,E,Cricetulus griseus,Cricetulus,griseus
A0A061I034,10029,E,Cricetulus griseus,Cricetulus,griseus
A0A061I2B2,10029,E,Cricetulus griseus,Cricetulus,griseus
A0A061IAE1,10029,E,Cricetulus griseus,Cricetulus,griseus
A0A061IB93,10029,E,Cricetulus griseus,Cricetulus,griseus
A0A061IDS8,10029,E,Cricetulus griseus,Cricetulus,griseus
A0A061IHJ9,10029,E,Cricetulus griseus,Cricetulus,griseus
A0A061IJQ1,10029,E,Cricetulus griseus,Cricetulus,griseus
A0A061IMB3,10029,E,Cricetulus griseus,Cricetulus,griseus
A0A061IP63,10029,E,Cricetulus griseus,Cricetulus,griseus
A0A061QLK9,6928,E,Cupiennius salei,Cupiennius,salei
A0A061QUT3,582737,E,Tetraselmis sp. GSL018,Tetraselmis, GSL018
A0A061RFH3,582737,E,Tetraselmis sp. GSL018,Tetraselmis, GSL018
A0A061RM56,582737,E,Tetraselmis sp. GSL018,Tetraselmis, GSL018
A0A061RVB2,582737,E,Tetraselmis sp. GSL018,Tetraselmis, GSL018
A0A061RXB0,582737,E,Tetraselmis sp. GSL018,Tetraselmis, GSL018
A0A061S8M4,582737,E,Tetraselmis sp. GSL018,Tetraselmis, GSL018
A0A061SB02,582737,E,Tetraselmis sp. GSL018,Tetraselmis, GSL018
A0A061SGE8,582737,E,Tetraselmis sp. GSL018,Tetraselmis, GSL018
A0A061SH24,582737,E,Tetraselmis sp. GSL018,Tetraselmis, GSL018
A0A061SN67,582737,E,Tetraselmis sp. GSL018,Tetraselmis, GSL018
A0A063C3W4,1159556,E,Ustilaginoidea virens,Ustilaginoidea,virens
A0A063C8X1,1159556,E,Ustilaginoidea virens,Ustilaginoidea,virens
A0A063CBL9,1159556,E,Ustilaginoidea virens,Ustilaginoidea,virens
A0A063CC32,1159556,E,Ustilaginoidea virens,Ustilaginoidea,virens
A0A066X4Z8,1173701,E,Colletotrichum sublineola,Colletotrichum,sublineola
A0A066X7L3,1173701,E,Colletotrichum sublineola,Colletotrichum,sublineola
A0A066XBR1,1173701,E,Colletotrichum sublineola,Colletotrichum,sublineola
A0A066XFV6,1173701,E,Colletotrichum sublineola,Colletotrichum,sublineola
A0A066XIL3,1173701,E,Colletotrichum sublineola,Colletotrichum,sublineola
A0A067DFS1,2711,E,Citrus sinensis,Citrus,sinensis
A0A067DI87,2711,E,Citrus sinensis,Citrus,sinensis
A0A067DIZ3,2711,E,Citrus sinensis,Citrus,sinensis
A0A067DJF1,2711,E,Citrus sinensis,Citrus,sinensis
A0A067DK06,2711,E,Citrus sinensis,Citrus,sinensis
A0A067DL66,2711,E,Citrus sinensis,Citrus,sinensis
A0A067DLT9,2711,E,Citrus sinensis,Citrus,sinensis
A0A067E1Z2,2711,E,Citrus sinensis,Citrus,sinensis
A0A067E2Y2,2711,E,Citrus sinensis,Citrus,sinensis
A0A067EP44,2711,E,Citrus sinensis,Citrus,sinensis
A0A067F4U9,2711,E,Citrus sinensis,Citrus,sinensis
A0A067FAV5,2711,E,Citrus sinensis,Citrus,sinensis
A0A067FDU5,2711,E,Citrus sinensis,Citrus,sinensis
A0A067FIJ9,2711,E,Citrus sinensis,Citrus,sinensis
A0A067FKU9,2711,E,Citrus sinensis,Citrus,sinensis
A0A067FQ94,2711,E,Citrus sinensis,Citrus,sinensis
A0A067FYB6,2711,E,Citrus sinensis,Citrus,sinensis
A0A067G5X0,2711,E,Citrus sinensis,Citrus,sinensis
A0A067G6A9,2711,E,Citrus sinensis,Citrus,sinensis
A0A067G9W9,2711,E,Citrus sinensis,Citrus,sinensis
A0A067GF16,2711,E,Citrus sinensis,Citrus,sinensis
A0A067GFU1,2711,E,Citrus sinensis,Citrus,sinensis
A0A067GPH1,2711,E,Citrus sinensis,Citrus,sinensis
A0A067H7Y6,2711,E,Citrus sinensis,Citrus,sinensis
A0A067JBM6,180498,E,Jatropha curcas,Jatropha,curcas
A0A067JQG5,180498,E,Jatropha curcas,Jatropha,curcas
A0A067JVA7,180498,E,Jatropha curcas,Jatropha,curcas
A0A067K3M0,180498,E,Jatropha curcas,Jatropha,curcas
A0A067K602,180498,E,Jatropha curcas,Jatropha,curcas
A0A067KKT6,180498,E,Jatropha curcas,Jatropha,curcas
A0A067KR17,180498,E,Jatropha curcas,Jatropha,curcas
A0A067KUK4,180498,E,Jatropha curcas,Jatropha,curcas
A0A067LB40,180498,E,Jatropha curcas,Jatropha,curcas
A0A067QN46,136037,E,Zootermopsis nevadensis,Zootermopsis,nevadensis
A0A067QT63,136037,E,Zootermopsis nevadensis,Zootermopsis,nevadensis
A0A067QV25,136037,E,Zootermopsis nevadensis,Zootermopsis,nevadensis
A0A067R2T3,136037,E,Zootermopsis nevadensis,Zootermopsis,nevadensis
A0A067R6R8,136037,E,Zootermopsis nevadensis,Zootermopsis,nevadensis
A0A067R7W8,136037,E,Zootermopsis nevadensis,Zootermopsis,nevadensis
A0A067RBH5,136037,E,Zootermopsis nevadensis,Zootermopsis,nevadensis
A0A067RF88,136037,E,Zootermopsis nevadensis,Zootermopsis,nevadensis
A0A067RFV2,136037,E,Zootermopsis nevadensis,Zootermopsis,nevadensis
A0A067RMA2,136037,E,Zootermopsis nevadensis,Zootermopsis,nevadensis
A0A067RWI8,136037,E,Zootermopsis nevadensis,Zootermopsis,nevadensis
A0A067XQH9,1381984,E,Chorizanthe stellulata,Chorizanthe,stellulata
A0A067YIW5,407941,E,Teratosphaeria considenianae,Teratosphaeria,considenianae
A0A067YZZ3,1233216,E,Lyrurus tetrix,Lyrurus,tetrix
A0A067Z7S9,1454253,E,Diaporthe sp. LNDD001,Diaporthe, LNDD001
A0A068FBN5,145453,E,Calliphora stygia,Calliphora,stygia
A0A068TRC5,49390,E,Coffea canephora,Coffea,canephora
A0A068TUV7,49390,E,Coffea canephora,Coffea,canephora
A0A068TVS9,49390,E,Coffea canephora,Coffea,canephora
A0A068TXJ1,49390,E,Coffea canephora,Coffea,canephora
A0A068U1C8,49390,E,Coffea canephora,Coffea,canephora
A0A068U4G0,49390,E,Coffea canephora,Coffea,canephora
A0A068U6Z6,49390,E,Coffea canephora,Coffea,canephora
A0A068UCW3,49390,E,Coffea canephora,Coffea,canephora
A0A068UF69,49390,E,Coffea canephora,Coffea,canephora
A0A068UQJ2,49390,E,Coffea canephora,Coffea,canephora
A0A068URS7,49390,E,Coffea canephora,Coffea,canephora
A0A068USH8,49390,E,Coffea canephora,Coffea,canephora
A0A068UUZ0,49390,E,Coffea canephora,Coffea,canephora
A0A068UZQ0,49390,E,Coffea canephora,Coffea,canephora
A0A068V3V9,49390,E,Coffea canephora,Coffea,canephora
A0A068VJF7,49390,E,Coffea canephora,Coffea,canephora
A0A068VJK0,49390,E,Coffea canephora,Coffea,canephora
A0A068VK84,49390,E,Coffea canephora,Coffea,canephora
A0A068WF44,6210,E,Echinococcus granulosus,Echinococcus,granulosus
A0A068WGF6,6210,E,Echinococcus granulosus,Echinococcus,granulosus
A0A068WNM9,6210,E,Echinococcus granulosus,Echinococcus,granulosus
A0A068WS33,6210,E,Echinococcus granulosus,Echinococcus,granulosus
A0A068WX54,6210,E,Echinococcus granulosus,Echinococcus,granulosus
A0A068WY63,6210,E,Echinococcus granulosus,Echinococcus,granulosus
A0A068X4F1,6210,E,Echinococcus granulosus,Echinococcus,granulosus
A0A068X732,85433,E,Hymenolepis microstoma,Hymenolepis,microstoma
A0A068X8F4,85433,E,Hymenolepis microstoma,Hymenolepis,microstoma
A0A068XKF6,85433,E,Hymenolepis microstoma,Hymenolepis,microstoma
A0A068XMJ4,85433,E,Hymenolepis microstoma,Hymenolepis,microstoma
A0A068XS64,85433,E,Hymenolepis microstoma,Hymenolepis,microstoma
A0A068Y1F4,6211,E,Echinococcus multilocularis,Echinococcus,multilocularis
A0A068Y4E0,6211,E,Echinococcus multilocularis,Echinococcus,multilocularis
A0A068YCR0,6211,E,Echinococcus multilocularis,Echinococcus,multilocularis
A0A069DZ75,65343,E,Panstrongylus megistus,Panstrongylus,megistus
A0A069DZS6,65343,E,Panstrongylus megistus,Panstrongylus,megistus
A0A072TKG8,3880,E,Medicago truncatula,Medicago,truncatula
A0A072UTM8,3880,E,Medicago truncatula,Medicago,truncatula
A0A072V2Y3,3880,E,Medicago truncatula,Medicago,truncatula
A0A072VCB2,3880,E,Medicago truncatula,Medicago,truncatula
A0A072VCB7,3880,E,Medicago truncatula,Medicago,truncatula
A0A072VD00,3880,E,Medicago truncatula,Medicago,truncatula
A0A072VEN8,3880,E,Medicago truncatula,Medicago,truncatula
A0A072VIQ7,3880,E,Medicago truncatula,Medicago,truncatula
A0A072VPD9,3880,E,Medicago truncatula,Medicago,truncatula
A0A072VWM9,3880,E,Medicago truncatula,Medicago,truncatula
A0A074SVP7,99158,E,Hammondia hammondi,Hammondia,hammondi
A0A074T061,99158,E,Hammondia hammondi,Hammondia,hammondi
A0A074T248,99158,E,Hammondia hammondi,Hammondia,hammondi
A0A074T902,99158,E,Hammondia hammondi,Hammondia,hammondi
A0A074TB92,99158,E,Hammondia hammondi,Hammondia,hammondi
A0A074TDF8,99158,E,Hammondia hammondi,Hammondia,hammondi
A0A074TPT7,99158,E,Hammondia hammondi,Hammondia,hammondi
A0A074YVQ2,6198,E,Opisthorchis viverrini,Opisthorchis,viverrini
A0A074Z537,6198,E,Opisthorchis viverrini,Opisthorchis,viverrini
