index,domainID,domainFamilyDescription
89,PF00104,Ligand-bindingdomainofnuclearhormonereceptor
90,PF00105,Zincfinger: C4type(twodomains)
91,PF00106,shortchaindehydrogenase
92,PF00107,Zinc-bindingdehydrogenase
93,PF00108,Thiolase: N-terminaldomain
94,PF00109,Beta-ketoacylsynthase: N-terminaldomain
95,PF00110,wntfamily
96,PF00112,Papainfamilycysteineprotease
97,PF00113,Enolase: C-terminalTIMbarreldomain
98,PF00115,CytochromeCandQuinoloxidasepolypeptideI
99,PF00116,CytochromeCoxidasesubunitII: periplasmicdomain
100,PF00117,Glutamineamidotransferaseclass-I
101,PF00118,TCP-1/cpn60chaperoninfamily
102,PF00119,ATPsynthaseAchain
103,PF00121,Triosephosphateisomerase
104,PF00122,E1-E2ATPase
105,PF00124,Photosyntheticreactioncentreprotein
106,PF00125,CorehistoneH2A/H2B/H3/H4
107,PF00128,Alphaamylase: catalyticdomain
108,PF00129,ClassIHistocompatibilityantigen: domainsalpha1and2
109,PF00130,Phorbolesters/diacylglycerolbindingdomain(C1domain)
110,PF00132,Bacterialtransferasehexapeptide(sixrepeats)
111,PF00133,tRNAsynthetasesclassI(I: L: MandV)
112,PF00134,Cyclin: N-terminaldomain
113,PF00135,Carboxylesterasefamily
114,PF00136,DNApolymerasefamilyB
115,PF00137,ATPsynthasesubunitC
116,PF00139,Legumelectindomain
117,PF00141,Peroxidase
118,PF00143,Interferonalpha/betadomain
119,PF00144,Beta-lactamase
120,PF00146,NADHdehydrogenase
121,PF00147,Fibrinogenbetaandgammachains: C-terminalglobulardomain
122,PF00148,Nitrogenasecomponent1typeOxidoreductase
123,PF00149,Calcineurin-likephosphoesterase
124,PF00150,Cellulase(glycosylhydrolasefamily5)
125,PF00151,Lipase
126,PF00153,Mitochondrialcarrierprotein
127,PF00155,AminotransferaseclassIandII
128,PF00156,Phosphoribosyltransferasedomain
129,PF00159,Pancreatichormonepeptide
130,PF00160,Cyclophilintypepeptidyl-prolylcis-transisomerase/CLD
131,PF00162,Phosphoglyceratekinase
132,PF00163,RibosomalproteinS4/S9N-terminaldomain
133,PF00164,RibosomalproteinS12/S23
134,PF00166,Chaperonin10Kdsubunit
135,PF00167,Fibroblastgrowthfactor
136,PF00168,C2domain
137,PF00169,PHdomain
138,PF00170,bZIPtranscriptionfactor
139,PF00171,Aldehydedehydrogenasefamily
140,PF00172,FungalZn(2)-Cys(6)binuclearclusterdomain
141,PF00173,Cytochromeb5-likeHeme/Steroidbindingdomain
142,PF00175,OxidoreductaseNAD-bindingdomain
143,PF00176,SNF2familyN-terminaldomain
144,PF00177,RibosomalproteinS7p/S5e
145,PF00178,Ets-domain
146,PF00179,Ubiquitin-conjugatingenzyme
147,PF00180,Isocitrate/isopropylmalatedehydrogenase
148,PF00181,RibosomalProteinsL2: RNAbindingdomain
149,PF00182,ChitinaseclassI
150,PF00183,Hsp90protein
151,PF00184,Neurohypophysialhormones: C-terminalDomain
152,PF00186,Dihydrofolatereductase
153,PF00188,Cysteine-richsecretoryproteinfamily
154,PF00189,RibosomalproteinS3: C-terminaldomain
155,PF00191,Annexin
156,PF00194,Eukaryotic-typecarbonicanhydrase
157,PF00195,Chalconeandstilbenesynthases: N-terminaldomain
158,PF00198,2-oxoaciddehydrogenasesacyltransferase(catalyticdomain)
159,PF00199,Catalase
160,PF00200,Disintegrin
161,PF00201,UDP-glucoronosylandUDP-glucosyltransferase
162,PF00202,Aminotransferaseclass-III
163,PF00203,RibosomalproteinS19
164,PF00205,Thiaminepyrophosphateenzyme: centraldomain
165,PF00206,Lyase
166,PF00207,Alpha-2-macroglobulinfamily
167,PF00208,Glutamate/Leucine/Phenylalanine/Valinedehydrogenase
168,PF00209,Sodium:neurotransmittersymporterfamily
169,PF00210,Ferritin-likedomain
170,PF00211,AdenylateandGuanylatecyclasecatalyticdomain
171,PF00217,ATP:guanidophosphotransferase: C-terminalcatalyticdomain
172,PF00221,Aromaticaminoacidlyase
173,PF00223,PhotosystemIpsaA/psaBprotein
174,PF00224,Pyruvatekinase: barreldomain
175,PF00225,Kinesinmotordomain
176,PF00226,DnaJdomain
177,PF00227,Proteasomesubunit
178,PF00228,Bowman-Birkserineproteaseinhibitorfamily
179,PF00230,Majorintrinsicprotein
180,PF00232,Glycosylhydrolasefamily1
181,PF00233,3'5'-cyclicnucleotidephosphodiesterase
182,PF00234,Proteaseinhibitor/seedstorage/LTPfamily
183,PF00235,Profilin
184,PF00237,RibosomalproteinL22p/L17e
185,PF00238,RibosomalproteinL14p/L23e
186,PF00240,Ubiquitinfamily
187,PF00241,Cofilin/tropomyosin-typeactin-bindingprotein
188,PF00243,Nervegrowthfactorfamily
189,PF00244,14-3-3protein
190,PF00245,Alkalinephosphatase
191,PF00246,Zinccarboxypeptidase
192,PF00248,Aldo/ketoreductasefamily
193,PF00249,Myb-likeDNA-bindingdomain
194,PF00250,Forkheaddomain
195,PF00251,Glycosylhydrolasesfamily32N-terminaldomain
196,PF00252,RibosomalproteinL16p/L10e
197,PF00253,RibosomalproteinS14p/S29e
198,PF00254,FKBP-typepeptidyl-prolylcis-transisomerase
199,PF00255,Glutathioneperoxidase
200,PF00264,Commoncentraldomainoftyrosinase
201,PF00266,Aminotransferaseclass-V
202,PF00268,Ribonucleotidereductase: smallchain
203,PF00270,DEAD/DEAHboxhelicase
204,PF00271,HelicaseconservedC-terminaldomain
205,PF00273,Serumalbuminfamily
206,PF00274,Fructose-bisphosphatealdolaseclass-I
207,PF00276,RibosomalproteinL23
208,PF00282,Pyridoxal-dependentdecarboxylaseconserveddomain
209,PF00285,Citratesynthase: C-terminaldomain
210,PF00287,Sodium/potassiumATPasebetachain
211,PF00288,GHMPkinasesNterminaldomain
212,PF00289,Biotincarboxylase: N-terminaldomain
213,PF00293,NUDIXdomain
214,PF00295,Glycosylhydrolasesfamily28
215,PF00296,Luciferase-likemonooxygenase
216,PF00297,RibosomalproteinL3
217,PF00300,Histidinephosphatasesuperfamily(branch1)
218,PF00305,Lipoxygenase
219,PF00306,ATPsynthasealpha/betachain: Cterminaldomain
220,PF00307,Calponinhomology(CH)domain
221,PF00312,RibosomalproteinS15
222,PF00313,'Cold-shock'DNA-bindingdomain
223,PF00314,Thaumatinfamily
224,PF00316,Fructose-1-6-bisphosphatase: N-terminaldomain
225,PF00317,Ribonucleotidereductase: all-alphadomain
226,PF00318,RibosomalproteinS2
227,PF00319,SRF-typetranscriptionfactor(DNA-bindinganddimerisationdomain)
228,PF00320,GATAzincfinger
229,PF00324,Aminoacidpermease
230,PF00326,Prolyloligopeptidasefamily
231,PF00328,Histidinephosphatasesuperfamily(branch2)
232,PF00330,Aconitasefamily(aconitatehydratase)
233,PF00331,Glycosylhydrolasefamily10
234,PF00333,RibosomalproteinS5: N-terminaldomain
235,PF00334,Nucleosidediphosphatekinase
236,PF00335,Tetraspaninfamily
237,PF00337,Galactoside-bindinglectin
238,PF00339,Arrestin(orS-antigen): N-terminaldomain
239,PF00341,PDGF/VEGFdomain
240,PF00342,Phosphoglucoseisomerase
241,PF00343,Carbohydratephosphorylase
242,PF00346,Respiratory-chainNADHdehydrogenase: 49Kdsubunit
243,PF00348,Polyprenylsynthetase
244,PF00350,Dynaminfamily
245,PF00351,Biopterin-dependentaromaticaminoacidhydroxylase
246,PF00354,Pentaxinfamily
247,PF00355,Rieske[2Fe-2S]domain
248,PF00360,Phytochromeregion
249,PF00361,Proton-conductingmembranetransporter
250,PF00364,Biotin-requiringenzyme
251,PF00368,Hydroxymethylglutaryl-coenzymeAreductase
252,PF00370,FGGYfamilyofcarbohydratekinases: N-terminaldomain
253,PF00372,Hemocyanin: coppercontainingdomain
254,PF00373,FERMcentraldomain
255,PF00375,Sodium:dicarboxylatesymporterfamily
256,PF00378,Enoyl-CoAhydratase/isomerase
257,PF00379,Insectcuticleprotein
258,PF00380,RibosomalproteinS9/S16
259,PF00382,TranscriptionfactorTFIIBrepeat
260,PF00383,Cytidineanddeoxycytidylatedeaminasezinc-bindingregion
261,PF00385,Chromo(CHRromatinOrganisationMOdifier)domain
262,PF00386,C1qdomain
263,PF00387,Phosphatidylinositol-specificphospholipaseC: Ydomain
264,PF00389,D-isomerspecific2-hydroxyaciddehydrogenase: catalyticdomain
265,PF00390,Malicenzyme: N-terminaldomain
266,PF00393,6-phosphogluconatedehydrogenase: C-terminaldomain
267,PF00394,Multicopperoxidase
268,PF00397,WWdomain
269,PF00400,WDdomain: G-betarepeat
270,PF00401,ATPsynthase: Delta/Epsilonchain: longalpha-helixdomain
271,PF00402,Calponinfamilyrepeat
272,PF00403,Heavy-metal-associateddomain
273,PF00405,Transferrin
274,PF00407,Pathogenesis-relatedproteinBetv1family
275,PF00408,Phosphoglucomutase/phosphomannomutase: C-terminaldomain
276,PF00410,RibosomalproteinS8
277,PF00411,RibosomalproteinS11
278,PF00412,LIMdomain
279,PF00413,Matrixin
280,PF00415,Regulatorofchromosomecondensation(RCC1)repeat
281,PF00416,RibosomalproteinS13/S18
282,PF00418,TauandMAPprotein: tubulin-bindingrepeat
283,PF00421,PhotosystemIIprotein
284,PF00425,chorismatebindingenzyme
285,PF00430,ATPsynthaseB/B'CF(0)
286,PF00431,CUBdomain
287,PF00432,Prenyltransferaseandsqualeneoxidaserepeat
288,PF00433,ProteinkinaseCterminaldomain
289,PF00435,Spectrinrepeat
290,PF00436,Single-strandbindingproteinfamily
291,PF00438,S-adenosylmethioninesynthetase: N-terminaldomain
292,PF00439,Bromodomain
293,PF00441,Acyl-CoAdehydrogenase: C-terminaldomain
294,PF00443,Ubiquitincarboxyl-terminalhydrolase
295,PF00444,RibosomalproteinL36
296,PF00445,RibonucleaseT2family
297,PF00447,HSF-typeDNA-binding
298,PF00448,SRP54-typeprotein: GTPasedomain
299,PF00450,Serinecarboxypeptidase
300,PF00453,RibosomalproteinL20
301,PF00454,Phosphatidylinositol3-and4-kinase
302,PF00458,WHEP-TRSdomain
303,PF00459,Inositolmonophosphatasefamily
304,PF00462,Glutaredoxin
305,PF00465,Iron-containingalcoholdehydrogenase
306,PF00467,KOWmotif
307,PF00468,RibosomalproteinL34
308,PF00471,RibosomalproteinL33
309,PF00472,RF-1domain
310,PF00474,Sodium:solutesymporterfamily
311,PF00481,Proteinphosphatase2C
312,PF00483,Nucleotidyltransferase
313,PF00487,Fattyaciddesaturase
314,PF00488,MutSdomainV
315,PF00491,Arginasefamily
316,PF00493,MCMP-loopdomain
317,PF00497,Bacterialextracellularsolute-bindingproteins: family3
318,PF00498,FHAdomain
319,PF00499,NADH-ubiquinone/plastoquinoneoxidoreductasechain6
320,PF00501,AMP-bindingenzyme
321,PF00504,ChlorophyllA-Bbindingprotein
322,PF00505,HMG(highmobilitygroup)box
323,PF00507,NADH-ubiquinone/plastoquinoneoxidoreductase: chain3
324,PF00510,CytochromecoxidasesubunitIII
325,PF00512,HisKinaseA(phospho-acceptor)domain
326,PF00514,Armadillo/beta-catenin-likerepeat
327,PF00515,Tetratricopeptiderepeat
328,PF00517,Retroviralenvelopeprotein
329,PF00520,Iontransportprotein
330,PF00521,DNAgyrase/topoisomeraseIV: subunitA
331,PF00525,AlphacrystallinAchain: Nterminal
332,PF00526,Dictyostelium(slimemold)repeat
333,PF00530,Scavengerreceptorcysteine-richdomain
334,PF00531,Deathdomain
335,PF00533,BRCA1CTerminus(BRCT)domain
336,PF00534,Glycosyltransferasesgroup1
337,PF00535,Glycosyltransferasefamily2
338,PF00536,SAMdomain(Sterilealphamotif)
339,PF00538,linkerhistoneH1andH5family
340,PF00549,CoA-ligase
341,PF00550,Phosphopantetheineattachmentsite
342,PF00557,MetallopeptidasefamilyM24
343,PF00560,LeucineRichRepeat
344,PF00561,alpha/betahydrolasefold
345,PF00562,RNApolymeraseRpb2: domain6
346,PF00564,PB1domain
347,PF00565,Staphylococcalnucleasehomologue
348,PF00566,Rab-GTPase-TBCdomain
349,PF00567,Tudordomain
350,PF00568,WH1domain
351,PF00569,Zincfinger: ZZtype
352,PF00570,HRDCdomain
353,PF00571,CBSdomain
354,PF00572,RibosomalproteinL13
355,PF00573,RibosomalproteinL4/L1family
356,PF00574,Clpprotease
357,PF00575,S1RNAbindingdomain
358,PF00578,AhpC/TSAfamily
359,PF00579,tRNAsynthetasesclassI(WandY)
360,PF00581,Rhodanese-likedomain
361,PF00582,Universalstressproteinfamily
362,PF00583,Acetyltransferase(GNAT)family
363,PF00584,SecE/Sec61-gammasubunitsofproteintranslocationcomplex
364,PF00586,AIRsynthaserelatedprotein: N-terminaldomain
365,PF00587,tRNAsynthetaseclassIIcoredomain(G: H: P: SandT)
366,PF00588,SpoUrRNAMethylasefamily
367,PF00591,Glycosyltransferasefamily: a/bdomain
368,PF00594,VitaminK-dependentcarboxylation/gamma-carboxyglutamic(GLA)domain
369,PF00595,PDZdomain
370,PF00596,ClassIIAldolaseandAdducinN-terminaldomain
371,PF00605,Interferonregulatoryfactortranscriptionfactor
372,PF00609,Diacylglycerolkinaseaccessorydomain
373,PF00610,DomainfoundinDishevelled: Egl-10: andPleckstrin(DEP)
374,PF00611,Fes/CIP4: andEFC/F-BARhomologydomain
375,PF00612,IQcalmodulin-bindingmotif
376,PF00613,Phosphoinositide3-kinasefamily: accessorydomain(PIKdomain)
377,PF00614,PhospholipaseDActivesitemotif
378,PF00615,RegulatorofGproteinsignalingdomain
379,PF00616,GTPase-activatorproteinforRas-likeGTPase
380,PF00617,RasGEFdomain
381,PF00620,RhoGAPdomain
382,PF00621,RhoGEFdomain
383,PF00622,SPRYdomain
384,PF00623,RNApolymeraseRpb1: domain2
385,PF00625,Guanylatekinase
386,PF00626,Gelsolinrepeat
387,PF00627,UBA/TS-Ndomain
388,PF00628,PHD-finger
389,PF00629,MAMdomain: meprin/A5/mu
390,PF00630,Filamin/ABP280repeat
391,PF00631,GGLdomain
392,PF00632,HECT-domain(ubiquitin-transferase)
393,PF00634,BRCA2repeat
394,PF00637,RegioninClathrinandVPS
395,PF00638,RanBP1domain
396,PF00640,Phosphotyrosineinteractiondomain(PTB/PID)
397,PF00641,Zn-fingerinRanbindingproteinandothers
398,PF00642,ZincfingerC-x8-C-x5-C-x3-Htype(andsimilar)
399,PF00643,B-boxzincfinger
400,PF00644,Poly(ADP-ribose)polymerasecatalyticdomain
401,PF00646,F-boxdomain
402,PF00648,Calpainfamilycysteineprotease
403,PF00650,CRAL/TRIOdomain
404,PF00651,BTB/POZdomain
405,PF00653,InhibitorofApoptosisdomain
406,PF00657,GDSL-likeLipase/Acylhydrolase
407,PF00658,Poly-adenylatebindingprotein: uniquedomain
408,PF00659,POLOboxduplicatedregion
409,PF00660,SeripauperinandTIP1family
410,PF00662,NADH-Ubiquinoneoxidoreductase(complexI): chain5N-terminus
411,PF00664,ABCtransportertransmembraneregion
412,PF00665,Integrasecoredomain
413,PF00667,FADbindingdomain
414,PF00668,Condensationdomain
415,PF00675,Insulinase(PeptidasefamilyM16)
416,PF00676,DehydrogenaseE1component
417,PF00679,ElongationfactorGC-terminus
418,PF00681,Plectinrepeat
419,PF00682,HMGL-like
420,PF00683,TBdomain
421,PF00685,Sulfotransferasedomain
422,PF00686,Starchbindingdomain
423,PF00687,RibosomalproteinL1p/L10efamily
424,PF00688,TGF-betapropeptide
425,PF00689,CationtransportingATPase: C-terminus
426,PF00690,Cationtransporter/ATPase: N-terminus
427,PF00694,AconitaseC-terminaldomain
428,PF00696,Aminoacidkinasefamily
429,PF00698,Acyltransferasedomain
430,PF00703,Glycosylhydrolasesfamily2
431,PF00704,Glycosylhydrolasesfamily18
432,PF00717,PeptidaseS24-like
433,PF00719,Inorganicpyrophosphatase
434,PF00722,Glycosylhydrolasesfamily16
435,PF00723,Glycosylhydrolasesfamily15
436,PF00724,NADH:flavinoxidoreductase/NADHoxidasefamily
437,PF00730,HhH-GPDsuperfamilybaseexcisionDNArepairprotein
438,PF00732,GMCoxidoreductase
439,PF00733,Asparaginesynthase
440,PF00734,Fungalcellulosebindingdomain
441,PF00735,Septin
442,PF00743,Flavin-bindingmonooxygenase-like
443,PF00748,Calpaininhibitor
444,PF00749,tRNAsynthetasesclassI(EandQ): catalyticdomain
445,PF00750,tRNAsynthetasesclassI(R)
446,PF00751,DMDNAbindingdomain
447,PF00753,Metallo-beta-lactamasesuperfamily
448,PF00754,F5/8typeCdomain
449,PF00757,Furin-likecysteinerichregion
450,PF00759,Glycosylhydrolasefamily9
451,PF00762,Ferrochelatase
452,PF00763,Tetrahydrofolatedehydrogenase/cyclohydrolase: catalyticdomain
453,PF00766,ElectrontransferflavoproteinFAD-bindingdomain
454,PF00769,Ezrin/radixin/moesinfamily
455,PF00775,Dioxygenase
456,PF00777,Glycosyltransferasefamily29(sialyltransferase)
457,PF00778,DIXdomain
458,PF00780,CNHdomain
459,PF00781,Diacylglycerolkinasecatalyticdomain
460,PF00782,Dualspecificityphosphatase: catalyticdomain
461,PF00786,P21-Rho-bindingdomain
462,PF00787,PXdomain
463,PF00788,Rasassociation(RalGDS/AF-6)domain
464,PF00789,UBXdomain
465,PF00790,VHSdomain
466,PF00792,Phosphoinositide3-kinaseC2
467,PF00794,PI3-kinasefamily: ras-bindingdomain
468,PF00801,PKDdomain
469,PF00804,Syntaxin
470,PF00806,Pumilio-familyRNAbindingrepeat
471,PF00808,Histone-liketranscriptionfactor(CBF/NF-Y)andarchaealhistone
472,PF00810,ERlumenproteinretainingreceptor
473,PF00812,Ephrin
474,PF00821,PhosphoenolpyruvatecarboxykinaseC-terminalP-loopdomain
475,PF00822,PMP-22/EMP/MP20/Claudinfamily
476,PF00828,Ribosomalproteins50S-L15: 50S-L18e: 60S-L27A
477,PF00833,RibosomalS17
478,PF00835,SNAP-25family
479,PF00839,Cysteinerichrepeat
480,PF00840,Glycosylhydrolasefamily7
481,PF00847,AP2domain
482,PF00849,RNApseudouridylatesynthase
483,PF00850,Histonedeacetylasedomain
484,PF00852,Glycosyltransferasefamily10(fucosyltransferase)C-term
485,PF00853,Runtdomain
486,PF00854,POTfamily
487,PF00855,PWWPdomain
488,PF00856,SETdomain
489,PF00857,Isochorismatasefamily
490,PF00858,Amiloride-sensitivesodiumchannel
491,PF00859,CTF/NF-Ifamilytranscriptionmodulationregion
492,PF00860,Permeasefamily
493,PF00864,ATPP2Xreceptor
494,PF00868,Transglutaminasefamily
495,PF00875,DNAphotolyase
496,PF00876,Innexin
497,PF00878,Cation-independentmannose-6-phosphatereceptorrepeat
498,PF00880,Nebulinrepeat
499,PF00884,Sulfatase
500,PF00886,RibosomalproteinS16
501,PF00887,AcylCoAbindingprotein
502,PF00888,Cullinfamily
503,PF00890,FADbindingdomain
504,PF00891,O-methyltransferasedomain
505,PF00892,EamA-liketransporterfamily
506,PF00895,ATPsynthaseprotein8
507,PF00899,ThiFfamily
508,PF00907,T-box
509,PF00909,AmmoniumTransporterFamily
510,PF00916,Sulfatepermeasefamily
511,PF00917,MATHdomain
512,PF00919,UncharacterizedproteinfamilyUPF0004
513,PF00923,Transaldolase/Fructose-6-phosphatealdolase
514,PF00927,Transglutaminasefamily: C-terminaliglikedomain
515,PF00928,Adaptorcomplexesmediumsubunitfamily
516,PF00929,Exonuclease
517,PF00930,DipeptidylpeptidaseIV(DPPIV)N-terminalregion
518,PF00931,NB-ARCdomain
519,PF00933,Glycosylhydrolasefamily3Nterminaldomain
520,PF00941,FADbindingdomaininmolybdopterindehydrogenase
521,PF00953,Glycosyltransferasefamily4
522,PF00957,Synaptobrevin
523,PF00958,GMPsynthaseCterminaldomain
524,PF00962,Adenosine/AMPdeaminase
525,PF00969,ClassIIhistocompatibilityantigen: betadomain
526,PF00970,OxidoreductaseFAD-bindingdomain
527,PF00975,Thioesterasedomain
528,PF00976,CorticotropinACTHdomain
529,PF00982,Glycosyltransferasefamily20
530,PF00984,UDP-glucose/GDP-mannosedehydrogenasefamily: centraldomain
531,PF00985,MerozoiteSurfaceAntigen2(MSA-2)family
532,PF00988,Carbamoyl-phosphatesynthasesmallchain: CPSasedomain
533,PF00989,PASfold
534,PF00992,Troponin
535,PF00993,ClassIIhistocompatibilityantigen: alphadomain
536,PF00994,Probablemolybdopterinbindingdomain
537,PF00996,GDPdissociationinhibitor
538,PF00999,Sodium/hydrogenexchangerfamily
539,PF01007,Inwardrectifierpotassiumchanneltransmembranedomain
540,PF01008,Initiationfactor2subunitfamily
541,PF01010,NADH-dehyrogenasesubunitF: TMs: (complexI)C-terminus
542,PF01012,Electrontransferflavoproteindomain
543,PF01014,Uricase
544,PF01016,RibosomalL27protein
545,PF01017,STATprotein: all-alphadomain
546,PF01019,Gamma-glutamyltranspeptidase
547,PF01023,S-100/ICaBPtypecalciumbindingdomain
548,PF01025,GrpE
549,PF01026,TatDrelatedDNase
550,PF01027,Inhibitorofapoptosis-promotingBax1
551,PF01030,ReceptorLdomain
552,PF01034,Syndecandomain
553,PF01039,Carboxyltransferasedomain
554,PF01040,UbiAprenyltransferasefamily
555,PF01042,EndoribonucleaseL-PSP
556,PF01044,Vinculinfamily
557,PF01048,Phosphorylasesuperfamily
558,PF01049,Cadherincytoplasmicregion
559,PF01058,NADHubiquinoneoxidoreductase: 20Kdsubunit
560,PF01059,NADH-ubiquinoneoxidoreductasechain4: aminoterminus
561,PF01060,Transthyretin-likefamily
562,PF01061,ABC-2typetransporter
563,PF01062,Bestrophin: RFP-TM: chloridechannel
564,PF01063,Amino-transferaseclassIV
565,PF01064,ActivintypesIandIIreceptordomain
566,PF01066,CDP-alcoholphosphatidyltransferase
567,PF01067,Calpainlargesubunit: domainIII
568,PF01070,FMN-dependentdehydrogenase
569,PF01073,3-betahydroxysteroiddehydrogenase/isomerasefamily
570,PF01077,Nitriteandsulphitereductase4Fe-4Sdomain
571,PF01080,Presenilin
572,PF01081,KDPGandKHGaldolase
573,PF01082,CoppertypeIIascorbate-dependentmonooxygenase: N-terminaldomain
574,PF01084,RibosomalproteinS18
575,PF01088,Ubiquitincarboxyl-terminalhydrolase: family1
576,PF01094,Receptorfamilyligandbindingregion
577,PF01095,Pectinesterase
578,PF01096,TranscriptionfactorS-II(TFIIS)
579,PF01105,emp24/gp25L/p24family/GOLD
580,PF01112,Asparaginase
581,PF01120,Alpha-L-fucosidase
582,PF01128,2-C-methyl-D-erythritol4-phosphatecytidylyltransferase
583,PF01129,NAD:arginineADP-ribosyltransferase
584,PF01130,CD36family
585,PF01131,DNAtopoisomerase
586,PF01133,Enhancerofrudimentary
587,PF01134,GlucoseinhibiteddivisionproteinA
588,PF01136,PeptidasefamilyU32
589,PF01137,RNA3'-terminalphosphatecyclase
590,PF01138,3'exoribonucleasefamily: domain1
591,PF01139,tRNA-splicingligaseRtcB
592,PF01145,SPFHdomain/Band7family
593,PF01150,GDA1/CD39(nucleosidephosphatase)family
594,PF01151,GNS1/SUR4family
595,PF01153,Glypican
596,PF01154,Hydroxymethylglutaryl-coenzymeAsynthaseNterminal
597,PF01156,Inosine-uridinepreferringnucleosidehydrolase
598,PF01157,RibosomalproteinL21e
599,PF01158,RibosomalproteinL36e
600,PF01161,Phosphatidylethanolamine-bindingprotein
601,PF01165,RibosomalproteinS21
602,PF01166,TSC-22/dip/bunfamily
603,PF01167,Tubfamily
604,PF01168,Alanineracemase: N-terminaldomain
605,PF01170,PutativeRNAmethylasefamilyUPF0020
606,PF01171,PP-loopfamily
607,PF01172,Shwachman-Bodian-Diamondsyndrome(SBDS)protein
608,PF01182,Glucosamine-6-phosphateisomerases/6-phosphogluconolactonase
609,PF01184,GPR1/FUN34/yaaHfamily
610,PF01187,Macrophagemigrationinhibitoryfactor(MIF)
611,PF01189,16SrRNAmethyltransferaseRsmB/F
612,PF01192,RNApolymeraseRpb6
613,PF01193,RNApolymeraseRpb3/Rpb11dimerisationdomain
614,PF01194,RNApolymerasesN/8kDasubunit
615,PF01198,RibosomalproteinL31e
616,PF01201,RibosomalproteinS8e
617,PF01202,Shikimatekinase
618,PF01204,Trehalase
